number,music_title,singer,duration
1,Satisfaction (타이틀 뮤직),Vienna Symphonic Orchestra Project,0.0
2,"Money, Money, Money",ABBA,186.43
3,Sunrise (Live),Uriah Heep,309.59
4,With Or Without You (Mixed By Steve Lillywhite),U2,0.0
5,Autumnsong,Manic Street Preachers,220.35
6,Your Love Is King,Sade,219.43
7,Ballad For Kay (철수는 오늘 BGM),Acoustic Alchemy,0.0
8,I Walk the Line,Johnny Cash,163.04
9,Anything That's Part Of You (Alternate Takes),Elvis Presley,0.0
10,The Night: Nights in White Satin,The Moody Blues,183.0
11,Hey Eugene,Pink Martini,186.45
12,I'm Coming Out,Diana Ross,323.35
13,Flower,Johnny Stimson,173.23
14,Un-Break My Heart,Toni Braxton,270.33
15,You Light Up My Life,Debby Boone,216.29
16,The Emptiness Machine,LINKIN PARK,190.43
17,Beautiful Things,Benson Boone,180.3
18,Calm Down,"Rema, Selena Gomez",239.32
19,"Lover, Please Stay",Nothing But Thieves,247.19
20,Money (Darkside),Pink Floyd,0.0
