number,music_title,singer,duration
1,Satisfaction (타이틀 뮤직),Vienna Symphonic Orchestra Project,0.0
2,The Memory Remains(Feat. Marianne Faithfull),Metallica,0.0
3,Walking Down The Street,The Real Group,185.2
4,Bette Davis Eyes,Kim Carnes,228.0
5,MMMBop,Hanson,268.65
6,Little Lies,Fleetwood Mac,221.05
7,Love Is Like Oxygen,Sweet,227.53
8,Autumn Leaves (Remastered),Nat King Cole,160.67
9,The Blower's Daughter,Damien Rice,286.65
10,Perfect Day,Lou Reed,225.0
11,Kiss and Say Goodbye,The Manhattans,266.73
12,Back At One,Brian McKnight,263.67
13,A Bar Song (Tipsy) (Explicit Ver.),Shaboozey,0.0
14,I Am Not Okay,Jelly Roll,197.13
15,Lies Lies Lies,Morgan Wallen,198.07
16,"Oh, Pretty Woman",Roy Orbison,178.93
17,I Honestly Love You,Olivia Newton John,220.33
18,I Just Called To Say I Love You (Single Ver.),Stevie Wonder,262.36
19,Goodies (Feat. Petey Pablo),Ciara,223.0
20,All About That Bass,Meghan Trainor,187.92
21,HOT TO GO!,Chappell Roan,184.84
22,Taste,Sabrina Carpenter,157.28
23,Timeless,"The Weeknd, Playboi Carti",256.0
24,BIRDS OF A FEATHER,Billie Eilish,210.37
25,"Good Luck, Babe!",Chappell Roan,218.42
26,Espresso,Sabrina Carpenter,175.46
27,Lose Control,Teddy Swims,210.69
28,A Bar Song (Tipsy) (Explicit Ver.),Shaboozey,0.0
