number,music_title,singer,duration
1,Satisfaction (타이틀 뮤직),Vienna Symphonic Orchestra Project,0.0
2,Patience,Take That,202.07
3,Sirius (Instrumental),Alan Parsons Project,107.67
4,Eye In The Sky,Alan Parsons Project,276.28
5,Stars,Simply Red,248.6
6,My Sharona,The Knack,295.4
7,Ballad For Kay (철수는 오늘 BGM),Acoustic Alchemy,0.0
8,Anytime You Need A Friend,Mariah Carey,265.42
9,Angels,Robbie Williams,265.0
10,"Bad Case Of Loving You (Doctor, Doctor)",Robert Palmer,195.51
11,All The Stars,"Kendrick Lamar, SZA",232.19
12,Between The Bars (Elliott Smith Cover),Chris Garneau,0.0
13,Cucurrucucu Paloma,Alberto Iglesias,0.0
14,BIRDS OF A FEATHER,Billie Eilish,210.37
15,Trip,Ella Mai,213.99
16,Players,Coi Leray,139.56
17,Leave Before You Love Me,"Marshmello, Jonas Brothers",154.98
18,FREEDOM,Jon Batiste,178.29
19,Neon,John Mayer,262.11
