number,music_title,singer,duration
1,Satisfaction (타이틀 뮤직),Vienna Symphonic Orchestra Project,0.0
2,Lights Out,Peter Wolf,0.0
3,The Great Escape,Boys Like Girls,206.52
4,Don't Stop Me Now (Remastered 2011),Queen,209.41
5,Swingtown,Steve Miller Band,209.8
6,I'm Your Baby Tonight,Whitney Houston,299.43
7,Ballad For Kay (철수는 오늘 BGM),Acoustic Alchemy,0.0
8,Dynamite,방탄소년단,199.05
9,Creep,Radiohead,238.64
10,Let's Make Love,Fourplay,236.73
11,Shine,Mr.Big,222.97
12,My Man’s Gone Now (live),Eddie Gomez Trio,0.0
13,Trikings,Eddie Gomez Trio,0.0
14,Cheeks (live),Eddie Gomez Trio,0.0
15,"Someday My Prince Will Come (Live At The Montreux Jazz Festival, 1968)",Bill Evans,368.96
