number,music_title,singer,duration
1,Satisfaction (타이틀 뮤직),Vienna Symphonic Orchestra Project,0.0
2,Common People (Full Length Version),Pulp,351.63
3,Don't You Worry 'Bout A Thing,Stevie Wonder,284.84
4,Sowing The Seeds Of Love (US Radio Edit),Tears For Fears,245.93
5,Time is Running Out,Muse,236.53
6,Ballad For Kay (철수는 오늘 BGM),Acoustic Alchemy,0.0
7,It Had to Be You (Big Band and Vocals),Harry Connick Jr.,158.23
8,How Can You Mend A Broken Heart,Al Green,383.5
9,어쩌다 마주친 그대 (퀴즈용 음악),송골매,0.0
10,Thunder,Imagine Dragons,187.15
11,Dawn,Masakatsu Takagi,183.5
12,Solitude,Billie Holiday,207.6
13,good 4 u,Olivia Rodrigo,178.15
14,Fields Of Gold,Eva Cassidy,282.09
15,The Windmills Of Your Mind,Sting,256.62
16,Leave Before You Love Me,"Marshmello, Jonas Brothers",154.98
17,Hurricane,Eric Benet,278.91
