number,music_title,singer,duration
1,Satisfaction (타이틀 뮤직),Vienna Symphonic Orchestra Project,0.0
2,Paperback Writer (Remastered 2009),The Beatles,139.19
3,Baby Come Back,Player,255.84
4,Ain't No Sunshine,Bill Withers,125.09
5,While My Guitar Gently Weeps (Feat. India.Arie & Yo-Yo Ma),Santana,362.52
6,Space Cowboy,Jamiroquai,386.97
7,Ballad For Kay (철수는 오늘 BGM),Acoustic Alchemy,0.0
8,Cloudy Day,J.J. Cale,324.64
9,Run To You,Whitney Houston,264.33
10,Socker,Kent,335.71
11,Parklife - (With Phil Daniels),Blur,0.0
12,In The Mood,Chicago,222.63
13,What A Fool Believes,The Doobie Brothers,223.87
14,Easy Lover,"Philip Bailey, Phil Collins",305.87
15,Bouree,Jethro Tull,225.4
16,Both Sides Now,Joni Mitchell,273.57
17,Beggin',Måneskin,211.56
18,Clap For The Wolfman,The Guess Who,256.17
19,Separate Ways (Worlds Apart),Journey,323.45
20,Comfortably Numb,Pink Floyd,382.3
