Date: 2024-10-14, Song: Trip, Artist: Ella Mai, Playtime: 213.99 seconds
Date: 2024-10-14, Song: Players, Artist: Coi Leray, Playtime: 139.56 seconds
Date: 2024-10-14, Song: Leave Before You Love Me, Artist: Marshmello, Jonas Brothers, Playtime: 154.98 seconds
Date: 2024-10-14, Song: FREEDOM, Artist: Jon Batiste, Playtime: 178.29 seconds
Date: 2024-10-14, Song: Neon, Artist: John Mayer, Playtime: 262.11 seconds
Date: 2024-10-13, Song: Satisfaction (타이틀 뮤직), Artist: Vienna Symphonic Orchestra Project not found on Spotify
Date: 2024-10-13, Song: Feel It Still, Artist: Portugal. The Man, Playtime: 163.25 seconds
Date: 2024-10-13, Song: Let Me Be There, Artist: Olivia Newton John, Playtime: 181.73 seconds
Date: 2024-10-13, Song: Simple Man, Artist: Lynyrd Skynyrd, Playtime: 356.63 seconds
Date: 2024-10-13, Song: Change the World, Artist: Eric Clapton, Playtime: 234.87 seconds
Date: 2024-10-13, Song: Let It Be (Remastered 2009), Artist: The Beatles, Playtime: 243.03 seconds
Date: 2024-10-13, Song: Proud Mary, Artist: Creedence Clearwater Revival, Playtime: 187.21 seconds
Date: 2024-10-13, Song: Casablanca, Artist: Bertie Higgins, Playtime: 274.80 seconds
Date: 2024-10-13, Song: The Load Out, Artist: Jackson Browne, Playtime: 335.26 seconds
Date: 2024-10-13, Song: Stay (Live), Artist: Jackson Browne, Playtime: 202.07 seconds
Date: 2024-10-13, Song: Everything, Artist: Michael Buble, Playtime: 212.37 seconds
Date: 2024-10-13, Song: (Shake, Shake, Shake) Shake Your Booty, Artist: KC & The Sunshine Band, Playtime: 186.91 seconds
Date: 2024-10-13, Song: Song 2 (2012 Remaster), Artist: Blur, Playtime: 121.16 seconds
Date: 2024-10-13, Song: It's Only Us, Artist: Robbie Williams, Playtime: 170.73 seconds
Date: 2024-10-13, Song: Time-Bomb, Artist: All Time Low, Playtime: 209.93 seconds
Date: 2024-10-13, Song: Ready Set Go, Artist: 트랜스픽션 not found on Spotify
Date: 2024-10-13, Song: We Will Rock You (Remastered), Artist: Queen, Playtime: 122.07 seconds
Date: 2024-10-13, Song: We Are The Champions (Remastered 2011), Artist: Queen, Playtime: 179.20 seconds
Date: 2024-10-13, Song: The Rockafeller Skank, Artist: Fatboy Slim, Playtime: 413.88 seconds
Date: 2024-10-13, Song: Make Way, Artist: Aloe Blacc, Playtime: 200.25 seconds
Date: 2024-10-13, Song: Colors (Coca-Cola® Anthem, 2018 FIFA World CupTM), Artist: Jason Derulo, Playtime: 187.39 seconds
Date: 2024-10-13, Song: For Granted, Artist: yaeji, Playtime: 161.95 seconds
Date: 2024-10-13, Song: The Name Of The Game (Ole Ole 올레 올레 월드컵 송 ), Artist: The Fans not found on Spotify
Date: 2024-10-13, Song: The Cup Of Life (La Copa De La Vida), Artist: Ricky Martin, Playtime: 279.92 seconds
Date: 2024-10-13, Song: Fire Away (Official FIFA Online 4 Theme Song), Artist: All Time Low not found on Spotify
Date: 2024-10-12, Song: Satisfaction (타이틀 뮤직), Artist: Vienna Symphonic Orchestra Project not found on Spotify
Date: 2024-10-12, Song: The Memory Remains(Feat. Marianne Faithfull), Artist: Metallica not found on Spotify
Date: 2024-10-12, Song: Walking Down The Street, Artist: The Real Group, Playtime: 185.20 seconds
Date: 2024-10-12, Song: Bette Davis Eyes, Artist: Kim Carnes, Playtime: 228.00 seconds
Date: 2024-10-12, Song: MMMBop, Artist: Hanson, Playtime: 268.65 seconds
Date: 2024-10-12, Song: Little Lies, Artist: Fleetwood Mac, Playtime: 221.05 seconds
Date: 2024-10-12, Song: Love Is Like Oxygen, Artist: Sweet, Playtime: 227.53 seconds
Date: 2024-10-12, Song: Autumn Leaves (Remastered), Artist: Nat King Cole, Playtime: 160.67 seconds
Date: 2024-10-12, Song: The Blower's Daughter, Artist: Damien Rice, Playtime: 286.65 seconds
Date: 2024-10-12, Song: Perfect Day, Artist: Lou Reed, Playtime: 225.00 seconds
Date: 2024-10-12, Song: Kiss and Say Goodbye, Artist: The Manhattans, Playtime: 266.73 seconds
Date: 2024-10-12, Song: Back At One, Artist: Brian McKnight, Playtime: 263.67 seconds
Date: 2024-10-12, Song: A Bar Song (Tipsy) (Explicit Ver.), Artist: Shaboozey not found on Spotify
Date: 2024-10-12, Song: I Am Not Okay, Artist: Jelly Roll, Playtime: 197.13 seconds
Date: 2024-10-12, Song: Lies Lies Lies, Artist: Morgan Wallen, Playtime: 198.07 seconds
Date: 2024-10-12, Song: Oh, Pretty Woman, Artist: Roy Orbison, Playtime: 178.93 seconds
Date: 2024-10-12, Song: I Honestly Love You, Artist: Olivia Newton John, Playtime: 220.33 seconds
Date: 2024-10-12, Song: I Just Called To Say I Love You (Single Ver.), Artist: Stevie Wonder, Playtime: 262.36 seconds
Date: 2024-10-12, Song: Goodies (Feat. Petey Pablo), Artist: Ciara, Playtime: 223.00 seconds
Date: 2024-10-12, Song: All About That Bass, Artist: Meghan Trainor, Playtime: 187.92 seconds
Date: 2024-10-12, Song: HOT TO GO!, Artist: Chappell Roan, Playtime: 184.84 seconds
Date: 2024-10-12, Song: Taste, Artist: Sabrina Carpenter, Playtime: 157.28 seconds
Date: 2024-10-12, Song: Timeless, Artist: The Weeknd, Playboi Carti, Playtime: 256.00 seconds
Date: 2024-10-12, Song: BIRDS OF A FEATHER, Artist: Billie Eilish, Playtime: 210.37 seconds
Date: 2024-10-12, Song: Good Luck, Babe!, Artist: Chappell Roan, Playtime: 218.42 seconds
Date: 2024-10-12, Song: Espresso, Artist: Sabrina Carpenter, Playtime: 175.46 seconds
Date: 2024-10-12, Song: Lose Control, Artist: Teddy Swims, Playtime: 210.69 seconds
Date: 2024-10-12, Song: A Bar Song (Tipsy) (Explicit Ver.), Artist: Shaboozey not found on Spotify
Date: 2024-10-11, Song: Satisfaction (타이틀 뮤직), Artist: Vienna Symphonic Orchestra Project not found on Spotify
Date: 2024-10-11, Song: Lights Out, Artist: Peter Wolf not found on Spotify
Date: 2024-10-11, Song: The Great Escape, Artist: Boys Like Girls, Playtime: 206.52 seconds
Date: 2024-10-11, Song: Don't Stop Me Now (Remastered 2011), Artist: Queen, Playtime: 209.41 seconds
Date: 2024-10-11, Song: Swingtown, Artist: Steve Miller Band, Playtime: 209.80 seconds
Date: 2024-10-11, Song: I'm Your Baby Tonight, Artist: Whitney Houston, Playtime: 299.43 seconds
Date: 2024-10-11, Song: Ballad For Kay (철수는 오늘 BGM), Artist: Acoustic Alchemy not found on Spotify
Date: 2024-10-11, Song: Dynamite, Artist: 방탄소년단, Playtime: 199.05 seconds
Date: 2024-10-11, Song: Creep, Artist: Radiohead, Playtime: 238.64 seconds
Date: 2024-10-11, Song: Let's Make Love, Artist: Fourplay, Playtime: 236.73 seconds
Date: 2024-10-11, Song: Shine, Artist: Mr.Big, Playtime: 222.97 seconds
Date: 2024-10-11, Song: My Man’s Gone Now (live), Artist: Eddie Gomez Trio not found on Spotify
Date: 2024-10-11, Song: Trikings, Artist: Eddie Gomez Trio not found on Spotify
Date: 2024-10-11, Song: Cheeks (live), Artist: Eddie Gomez Trio not found on Spotify
Date: 2024-10-11, Song: Someday My Prince Will Come (Live At The Montreux Jazz Festival, 1968), Artist: Bill Evans, Playtime: 368.96 seconds
Date: 2024-10-10, Song: Satisfaction (타이틀 뮤직), Artist: Vienna Symphonic Orchestra Project not found on Spotify
Date: 2024-10-10, Song: Money, Money, Money, Artist: ABBA, Playtime: 186.43 seconds
Date: 2024-10-10, Song: Sunrise (Live), Artist: Uriah Heep, Playtime: 309.59 seconds
Date: 2024-10-10, Song: With Or Without You (Mixed By Steve Lillywhite), Artist: U2 not found on Spotify
Date: 2024-10-10, Song: Autumnsong, Artist: Manic Street Preachers, Playtime: 220.35 seconds
Date: 2024-10-10, Song: Your Love Is King, Artist: Sade, Playtime: 219.43 seconds
Date: 2024-10-10, Song: Ballad For Kay (철수는 오늘 BGM), Artist: Acoustic Alchemy not found on Spotify
Date: 2024-10-10, Song: I Walk the Line, Artist: Johnny Cash, Playtime: 163.04 seconds
Date: 2024-10-10, Song: Anything That's Part Of You (Alternate Takes), Artist: Elvis Presley not found on Spotify
Date: 2024-10-10, Song: The Night: Nights in White Satin, Artist: The Moody Blues, Playtime: 183.00 seconds
Date: 2024-10-10, Song: Hey Eugene, Artist: Pink Martini, Playtime: 186.45 seconds
Date: 2024-10-10, Song: I'm Coming Out, Artist: Diana Ross, Playtime: 323.35 seconds
Date: 2024-10-10, Song: Flower, Artist: Johnny Stimson, Playtime: 173.23 seconds
Date: 2024-10-10, Song: Un-Break My Heart, Artist: Toni Braxton, Playtime: 270.33 seconds
Date: 2024-10-10, Song: You Light Up My Life, Artist: Debby Boone, Playtime: 216.29 seconds
Date: 2024-10-10, Song: The Emptiness Machine, Artist: LINKIN PARK, Playtime: 190.43 seconds
Date: 2024-10-10, Song: Beautiful Things, Artist: Benson Boone, Playtime: 180.30 seconds
Date: 2024-10-10, Song: Calm Down, Artist: Rema, Selena Gomez, Playtime: 239.32 seconds
Date: 2024-10-10, Song: Lover, Please Stay, Artist: Nothing But Thieves, Playtime: 247.19 seconds
Date: 2024-10-10, Song: Money (Darkside), Artist: Pink Floyd not found on Spotify
Date: 2024-10-09, Song: Satisfaction (타이틀 뮤직), Artist: Vienna Symphonic Orchestra Project not found on Spotify
Date: 2024-10-09, Song: Paperback Writer (Remastered 2009), Artist: The Beatles, Playtime: 139.19 seconds
Date: 2024-10-09, Song: Baby Come Back, Artist: Player, Playtime: 255.84 seconds
Date: 2024-10-09, Song: Ain't No Sunshine, Artist: Bill Withers, Playtime: 125.09 seconds
Date: 2024-10-09, Song: While My Guitar Gently Weeps (Feat. India.Arie & Yo-Yo Ma), Artist: Santana, Playtime: 362.52 seconds
Date: 2024-10-09, Song: Space Cowboy, Artist: Jamiroquai, Playtime: 386.97 seconds
Date: 2024-10-09, Song: Ballad For Kay (철수는 오늘 BGM), Artist: Acoustic Alchemy not found on Spotify
Date: 2024-10-09, Song: Cloudy Day, Artist: J.J. Cale, Playtime: 324.64 seconds
Date: 2024-10-09, Song: Run To You, Artist: Whitney Houston, Playtime: 264.33 seconds
Date: 2024-10-09, Song: Socker, Artist: Kent, Playtime: 335.71 seconds
Date: 2024-10-09, Song: Parklife - (With Phil Daniels), Artist: Blur not found on Spotify
Date: 2024-10-09, Song: In The Mood, Artist: Chicago, Playtime: 222.63 seconds
Date: 2024-10-09, Song: What A Fool Believes, Artist: The Doobie Brothers, Playtime: 223.87 seconds
Date: 2024-10-09, Song: Easy Lover, Artist: Philip Bailey, Phil Collins, Playtime: 305.87 seconds
Date: 2024-10-09, Song: Bouree, Artist: Jethro Tull, Playtime: 225.40 seconds
Date: 2024-10-09, Song: Both Sides Now, Artist: Joni Mitchell, Playtime: 273.57 seconds
Date: 2024-10-09, Song: Beggin', Artist: Måneskin, Playtime: 211.56 seconds
Date: 2024-10-09, Song: Clap For The Wolfman, Artist: The Guess Who, Playtime: 256.17 seconds
Date: 2024-10-09, Song: Separate Ways (Worlds Apart), Artist: Journey, Playtime: 323.45 seconds
Date: 2024-10-09, Song: Comfortably Numb, Artist: Pink Floyd, Playtime: 382.30 seconds
Date: 2024-10-08, Song: Satisfaction (타이틀 뮤직), Artist: Vienna Symphonic Orchestra Project not found on Spotify
Date: 2024-10-08, Song: Everybody Talks, Artist: Neon Trees, Playtime: 177.28 seconds
Date: 2024-10-08, Song: The World I Know (LP Version), Artist: Collective Soul not found on Spotify
Date: 2024-10-08, Song: Man In The Mirror (2012 Remaster), Artist: Michael Jackson, Playtime: 318.68 seconds
Date: 2024-10-08, Song: Love Is a Wonderful Thing, Artist: Michael Bolton, Playtime: 282.93 seconds
Date: 2024-10-08, Song: Six Play, Artist: George Benson, Playtime: 244.80 seconds
Date: 2024-10-08, Song: Ballad For Kay (철수는 오늘 BGM), Artist: Acoustic Alchemy not found on Spotify
Date: 2024-10-08, Song: My Way, Artist: 신해철, Playtime: 203.71 seconds
Date: 2024-10-08, Song: Just Once, Artist: Quincy Jones, Playtime: 273.33 seconds
Date: 2024-10-08, Song: Love Is A Losing Game, Artist: Amy Winehouse, Playtime: 155.41 seconds
Date: 2024-10-08, Song: 빗물 (퀴즈용 음악), Artist: 송골매 not found on Spotify
Date: 2024-10-08, Song: Senorita, Artist: Shawn Mendes, Camila Cabello, Playtime: 190.80 seconds
Date: 2024-10-08, Song: You, Artist: Maiah Manser, Playtime: 211.13 seconds
Date: 2024-10-08, Song: Tragedy, Artist: Foo Fighters not found on Spotify
Date: 2024-10-08, Song: The Trooper (2015 Remaster), Artist: Iron Maiden, Playtime: 252.73 seconds
Date: 2024-10-08, Song: Die With A Smile, Artist: Lady Gaga, Bruno Mars, Playtime: 251.67 seconds
Date: 2024-10-08, Song: Dancing In The Flames, Artist: The Weeknd, Playtime: 220.04 seconds
Date: 2024-10-08, Song: HEARTBREAK ANNIVERSARY, Artist: Giveon, Playtime: 198.37 seconds
Date: 2024-10-08, Song: Off My Face, Artist: Justin Bieber, Playtime: 156.47 seconds
Date: 2024-10-08, Song: Misread, Artist: Kings Of Convenience, Playtime: 188.40 seconds
Date: 2024-10-07, Song: Satisfaction (타이틀 뮤직), Artist: Vienna Symphonic Orchestra Project not found on Spotify
Date: 2024-10-07, Song: Common People (Full Length Version), Artist: Pulp, Playtime: 351.63 seconds
Date: 2024-10-07, Song: Don't You Worry 'Bout A Thing, Artist: Stevie Wonder, Playtime: 284.84 seconds
Date: 2024-10-07, Song: Sowing The Seeds Of Love (US Radio Edit), Artist: Tears For Fears, Playtime: 245.93 seconds
Date: 2024-10-07, Song: Time is Running Out, Artist: Muse, Playtime: 236.53 seconds
Date: 2024-10-07, Song: Ballad For Kay (철수는 오늘 BGM), Artist: Acoustic Alchemy not found on Spotify
Date: 2024-10-07, Song: It Had to Be You (Big Band and Vocals), Artist: Harry Connick Jr., Playtime: 158.23 seconds
Date: 2024-10-07, Song: How Can You Mend A Broken Heart, Artist: Al Green, Playtime: 383.50 seconds
Date: 2024-10-07, Song: 어쩌다 마주친 그대 (퀴즈용 음악), Artist: 송골매 not found on Spotify
Date: 2024-10-07, Song: Thunder, Artist: Imagine Dragons, Playtime: 187.15 seconds
Date: 2024-10-07, Song: Dawn, Artist: Masakatsu Takagi, Playtime: 183.50 seconds
Date: 2024-10-07, Song: Solitude, Artist: Billie Holiday, Playtime: 207.60 seconds
Date: 2024-10-07, Song: good 4 u, Artist: Olivia Rodrigo, Playtime: 178.15 seconds
Date: 2024-10-07, Song: Fields Of Gold, Artist: Eva Cassidy, Playtime: 282.09 seconds
Date: 2024-10-07, Song: The Windmills Of Your Mind, Artist: Sting, Playtime: 256.62 seconds
Date: 2024-10-07, Song: Leave Before You Love Me, Artist: Marshmello, Jonas Brothers, Playtime: 154.98 seconds
Date: 2024-10-07, Song: Hurricane, Artist: Eric Benet, Playtime: 278.91 seconds
